"ASIN","title","order","category","brand","price","global_rating_count","description","Special_Feature","total_star_mean","detail_dict","best_sellers_rank_Feature"
B0CBSZW485,"Dr.Jart+ Every Sun Day Mineral Sunscreen SPF 50+ for Face | Korean Skin Care, 1.69 Fl Oz",26,Skin Care Products,No brand,40.0,"38","{""Benefits"": ""This everyday sunscreen protects skin from sun damage and leaves a lightweight, shine-free finish."", ""Description"": ""A matte finish, physical sunscreen that’s weightless and good for all skin types including sensitive skin."", ""Suggested use"": ""Massage a dime-size amount over face and neck (the back of hands, too!) at least 20 minutes before sun exposure.""}",No special feature,4.4,"{""ASIN"": ""B0CBSZW485"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Canada"", ""Item model number"": ""H5AW011000"", ""Product Dimensions"": ""1.91 x 5.12 x 1.26 inches; 3.03 ounces""}","#55,450 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#280 in Facial Sunscreens
#6,580 in Facial Skin Care Products"
B0CBT2XTBZ,"Dr.Jart+ Teatreement Face Toner for Oily Skin | Korean Skin Care, 4.05 Fl Oz",43,Skin Care Products,Dr.Jart+,30.0,"35","{""Benefits"": ""A purifying toner that clears the way to better skin by removing excess oil without disturbing the moisture barrier."", ""Description"": ""This scented watery tea tree toner helps skin maintain a healthy balance of moisture and oil. The gentle formula quickly absorbs into skin and leaves it feeling smooth, fresh, hydrated and ready for the next step in your regimen. Dermatologist tested."", ""Suggested use"": ""After cleansing, soak a cotton pad with toner and sweep along skin. Use morning and night.""}",No special feature,4.2,"{""ASIN"": ""B0CBT2XTBZ"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H59K010000"", ""Product Dimensions"": ""1.85 x 4.88 x 1.85 inches; 6.03 ounces""}","#234,148 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,235 in Facial Toners & Astringents"
B0CFDQFLMT,"Dr.Jart+ Cicapair Tiger Grass Camo Drops Tinted Face Serum SPF 35 | Color Corrector | Korean Skin Care, 1.01 Fl Oz",3,Makeup,No brand,49.0,"81","{""Benefits"": ""This green-to-beige formula adapts to skin’s natural color and corrects redness on contact for a light finish that’s dewy perfection."", ""Description"": ""An ultra-lightweight color corrector with a serum-like texture that instantly neutralizes redness and ignites skin's glow."", ""Suggested use"": ""Shake well. Apply 2-3 drops in hands or directly to face. Blend and press into skin.""}",No special feature,4.6,"{""ASIN"": ""B0CFDQFLMT"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Canada"", ""Item model number"": ""H5A0011000"", ""Product Dimensions"": ""2.2 x 3.78 x 1.46 inches; 1 ounces""}","#26,329 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#89 in Facial Scrubs
#115 in Concealers & Neutralizing Makeup"
B0CJ7RLRLS,"Dr.Jart+ Pore.Remedy Renewing Foaming Face Wash Cleanser with Glycerin | Korean Skin Care, 5.07 Fl Oz",32,Skin Care Products,Dr.Jart+,28.0,"40","{""Benefits"": ""Instantly removes dead skin cells, excess oils, sunscreens, makeup, yellow sands, fine dust, and water-proof products."", ""Description"": ""An Amino-based cleanser with Glycerin that instantly washes away 7 types of debris without leaving skin feeling dry, tight, or stripped. This fragrance-free, jelly cleanser with mint capsules lathers into a multi-layer foam that creates a cushion as it cleanses. Fit for all skin types."", ""Suggested use"": ""Squeeze into hands. Work into a bubbly foam. Gently massage into skin, then rinse.""}",No special feature,4.5,"{""ASIN"": ""B0CJ7RLRLS"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""B41N010000"", ""Product Dimensions"": ""1.89 x 2.36 x 6.54 inches; 0.71 ounces""}","#102,760 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#1,320 in Facial Cleansing Washes"
B0D27V6J78,"Dr.Jart+ Ceramidin Jelly Lip Balm with Ceramides | Korean Skin Care, 0.23 Fl Oz",11,Skin Care Products,Dr.Jart+,16.0,"58","{""Benefits"": ""This jelly-like balm delivers skincare to lips. It conditions dry, tight skin with a moisturizing layer and primes skin for lipstick or gloss."", ""Description"": ""A daily lip balm with Ceramide NP that quickly softens and relieves dry lips with comforting moisture. Dermatologist tested."", ""Suggested use"": ""Use this daily lip balm to quickly relieve dry lips with comforting moisture. Apply to lips as often as needed.""}",No special feature,4.5,"{""ASIN"": ""B0D27V6J78"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H0PU010000"", ""Product Dimensions"": ""1.61 x 1.02 x 3.43 inches; 0.53 ounces""}","#27,690 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#467 in Lip Balms & Moisturizers"
B0D2BKLRBM,"Dr.Jart+ Ceramidin Skin Barrier Face Serum Toner with Ceramides | Korean Skin Care, 5.07 Fl Oz",13,Skin Care Products,Dr.Jart+,39.0,"44","{""Benefits"": ""This rich liquid moisturizer combines your serum and toner step for one potent skip-care essential."", ""Description"": ""A serum-like toner with Ceramide NP and Panthenol that strengthens the skin barrier, moisturizes, softens, tones, and preps skin for the next step. Good for everyone; especially dry skin."", ""Suggested use"": ""After cleansing, apply a generous amount of Ceramidin Serum Toner on entire face using hands or a cotton pad.""}",No special feature,4.8,"{""ASIN"": ""B0D2BKLRBM"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H6ML010000"", ""Product Dimensions"": ""1.81 x 1.81 x 5.67 inches; 7.76 ounces""}","#31,296 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#671 in Facial Serums"
B0D2D19357,Dr.Jart+ Dermask Vital Hydra Solution Glow Face Mask with Hyaluronic Acid | Sheet Mask | Korean Skin Care,9,Skin Care Products,Dr.Jart+,10.0,"74","{""Benefits"": ""New and improved for instant visible results. One use delivers all-day hydration, relieves dry skin, and improves visible fine, dry lines."", ""Description"": ""The new upgraded version of Dr.Jart+’s bestselling mask is more powerful than ever. This intensive water gel face mask improves the look of fine lines, plumps skin and leaves it with a youthful-looking glow. Suitable to use on sensitive skin and after laser skin treatments.**"", ""Suggested use"": ""Remove the mask from skin after 15 to 20 minutes. Massage remaining formula into skin until it is fully absorbed to reduce the feeling of stickiness. Follow with a moisturizer.""}",No special feature,3.9,"{""ASIN"": ""B0D2D19357"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H75L010000"", ""Product Dimensions"": ""0.5 x 0.4 x 0.29 inches; 1.2 ounces""}","#18,120 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#196 in Facial Masks"
B0D2D1VPD4,"Dr.Jart+ Cicapair™ Sensitive Skin Serum Face Mask for Redness | Sheet Mask | Korean Skin Care, 1 Pack",14,Skin Care Products,Dr.Jart+,10.0,"41","{""Benefits"": ""The mask tightly wraps the skin to deliver cooling hydration, soothe and help repair the barrier for skin strength."", ""Description"": ""A cellulose face mask infused with serum that immediately soothes skin to reduce visible redness and leaves skin looking calm and hydrated. Suitable for sensitive skin."", ""Suggested use"": ""Remove the mask from skin after 15 to 20 minutes. Massage remaining formula into skin.""}",No special feature,4.3,"{""ASIN"": ""B0D2D1VPD4"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H7W0010000"", ""Product Dimensions"": ""4.72 x 0.04 x 7.87 inches; 1.06 ounces""}","#30,251 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#347 in Facial Masks"
B0D2D4WDGS,"Dr.Jart+ Dermask™ Soothing Hydra Solution™ Face Mask for Visibly Irritated Skin | Sheet Mask | Korean Skin Care, 1 Pack",16,Skin Care Products,Dr.Jart+,10.0,"49","{""Benefits"": ""Suitable for all skin types, including sensitive, oily and combination skin. Dermatologist tested."", ""Description"": ""This intensive gel sheet mask, with Allantoin and Panthenol, delivers immediate relief for stressed, irritated-looking skin. It leaves your complexion looking calm, healthy, and rejuvenated by hydrating, strengthening the barrier and balancing skin."", ""Suggested use"": ""Remove the mask from skin after 15 to 20 minutes. Massage remaining formula into skin.""}",No special feature,4.6,"{""ASIN"": ""B0D2D4WDGS"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H75M010000"", ""Product Dimensions"": ""0.18 x 0.17 x 0.11 inches; 1.13 ounces""}","#43,390 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#534 in Facial Masks"
B0D2G6YJ79,"Dr.Jart+ Cicapair So Soothing Face Treatment for Visibly Irritated Skin | Skin Barrier Repair | Korean Skin Care, 1.01 Fl Oz",44,Skin Care Products,Dr.Jart+,48.0,"30","{""Benefits"": ""This gel cream brings skin back from the brink by soothing, smoothing, hydrating, and repairing skin’s barrier."", ""Description"": ""An SOS treatment suitable to use on sensitive skin and after laser skincare or acid peel treatments*. *Shown to be safe for use following Glycolic Acid Peel treatment or Intense Pulsed Light (IPL) treatment in 2 week clinical usage tests."", ""Suggested use"": ""Apply twice a day where needed. Suitable to use on sensitive skin.""}",Gluten free,4.5,"{""ASIN"": ""B0D2G6YJ79"", ""Manufacturer"": ""Dr.Jart+"", ""Country of Origin"": ""Korea, Republic of"", ""Item model number"": ""H6PA010000"", ""Product Dimensions"": ""1.56 x 1.16 x 5.83 inches; 1.94 ounces""}","#260,145 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#623 in Facial Peels"
